GOterm,term,Pvalue,NoGOsize,cluster,entrez
59,GO:0044242,cellular lipid catabolic process,2.54e-08,43;177,C_1_GSE62232,32;285848;38;1892;10449;30;35;34;4594;5264;2639;3712;2167;8310;1962;36;8309;2110;11001;33;154;1592;344;337;39;8228;1374;11343;51099;56898;55268;9388;55512;57733;54363;57406;129807;116519;219743;51;83875;80339;166785
60,GO:0006811,ion transport,2.77e-08,197;1362,C_1_GSE62232,283375;64072;23704;32;170850;84879;246213;245973;8671;7439;3788;1579;5923;5743;55089;255231;6546;729993;84239;1356;126755;344905;348980;480;27165;388591;10891;2893;30818;9611;7057;6513;2273;2180;6256;6515;5652;5187;11309;920;6387;5142;360;1756;3039;6351;5138;482;2775;1080;2568;1230;6348;9122;8864;9071;5348;6947;2395;4846;2147;11001;759;3777;1393;6539;154;3780;552;28234;288;1259;6406;6523;364;189;10246;3768;774;6540;6554;6580;10786;6579;2917;5020;353189;6542;2260;6622;778;2912;10060;6336;3043;123;760;18;2823;8542;816;2534;3769;7036;5023;6007;8529;1374;9104;825;3755;8913;148;23516;6526;815;6505;3752;7018;213;51422;63982;2558;6006;5322;1739;22999;6347;23428;4644;6569;5587;51660;94081;55240;29763;30845;23632;55244;3773;8645;844;10998;56606;79026;3781;79689;10343;11141;23566;2895;30814;3355;3778;10864;4915;51312;51393;84102;11280;89822;22953;51305;80333;6506;361;286410;1272;220963;54102;285195;128414;320;286133;348938;9481;3736;54207;152519;85413;287;219527;3760;113235;54716;64805;1317;3753;3772;57053;140679;7037;116337;79054;9971;3356;5170
61,GO:0033993,response to lipid,4.32e-08,130;818,C_1_GSE62232,25819;5743;6777;6898;7299;10891;2920;1843;7057;847;3725;7538;929;1634;2180;5069;6422;3164;6256;558;2308;2354;3155;5106;5187;6279;8835;687;920;5142;360;3727;10247;7056;1902;4129;1036;2643;1910;8061;4360;6770;4929;6715;3294;6943;4982;1667;6348;3569;2099;590;2626;4488;4846;7472;1543;1620;4804;5979;1393;383;7480;552;1369;5444;8431;5732;7481;6716;189;9970;114548;445;4058;8856;15;9420;6915;5020;1544;6622;8013;2104;5105;5764;2805;1312;2353;760;306;51141;4824;429;20;1374;2002;7525;3651;367;4916;5473;57795;11221;249;6347;6569;7477;57088;59307;55022;58189;11093;57817;2103;84649;7099;54206;5166;111;10081;342979;57828;107;6899;84676;257062;4838;842;9971
62,GO:1990267,response to transition metal nanoparticle,5.61e-08,33;121,C_1_GSE62232,5743;6898;6652;6279;26;10974;4501;4495;2395;23498;1543;3777;383;4496;445;339;15;6622;760;18;7036;3651;4502;4493;4494;7018;6569;4499;57817;120892;287;1317;48
63,GO:0006790,sulfur compound metabolic process,7.15e-08,67;345,C_1_GSE62232,32;875;6777;26027;93010;38;633;26227;1634;2180;4522;3155;4594;2639;6817;1036;5549;8942;3029;10090;1463;2690;2395;2687;4143;6999;1491;635;56548;570;10249;6799;10400;6622;1312;2954;6818;23169;27232;10157;10402;5161;23305;2194;51660;51703;29940;23417;27087;6783;9348;10164;80704;9953;51268;2940;51166;84649;5166;133584;123876;92126;266722;50859;3423;134526;63827
64,GO:0046683,response to organophosphorus,7.20e-08,34;128,C_1_GSE62232,5743;7299;6546;348980;1843;3725;2354;5187;3727;7056;1902;5138;1036;8061;6770;6715;2819;1080;1393;7480;7010;189;445;15;5020;5105;2353;1390;5023;5322;6347;22953;64805;3753
65,GO:0051384,response to glucocorticoid,8.97e-08,35;135,C_1_GSE62232,5743;6898;1843;7538;5069;2308;2354;5106;687;4129;1036;8061;6770;6715;3569;590;383;552;1369;189;445;15;5020;2805;2353;306;3651;4916;249;6347;7477;54206;10081;84676;842
66,GO:0072330,monocarboxylic acid biosynthetic process,9.39e-08,41;172,C_1_GSE62232,32;51302;5743;10613;5947;6770;8864;8309;2687;10993;11001;6296;33;552;344;337;570;189;6718;9420;5740;51141;5354;9104;11343;6309;84869;51422;5322;2194;4644;23417;10998;10826;59344;116519;5166;9444;1582;112817;9971
67,GO:0030154,cell differentiation,1.06e-07,423;3406,C_1_GSE62232,283375;64072;130399;23210;130951;219793;114771;122042;84879;5075;121599;159989;149685;25819;90102;5923;5743;132141;6777;64081;22849;84570;8633;54937;171483;56203;974;64399;6546;126755;654429;8876;84913;694;7171;2070;80005;1776;348980;55604;23105;441549;221336;649;10891;161357;2114;26227;847;6009;3725;7538;2273;10765;3398;1958;4860;6422;6385;9414;2633;4070;3164;10409;6256;5604;558;2308;290;6279;5156;6304;1969;6653;920;9638;10974;6387;360;3727;1756;2167;1952;1902;10912;5138;1910;4329;8842;4501;8321;9620;6770;3897;4929;6715;7049;4495;3131;2775;4291;4092;2009;4255;6943;22809;1949;1080;5345;1230;6348;10090;283;101;3569;2099;3556;8864;3798;1638;185;653;590;10570;2626;4488;577;7472;2243;10178;1543;2147;912;1620;4804;5979;5745;2294;8997;1491;6431;9355;154;1041;1071;7480;552;1013;1995;9211;9021;288;3037;57447;660;6595;6517;8809;7010;4908;22865;7481;4803;26206;2045;337;6716;5457;7143;114548;4974;4058;9398;944;3953;8993;10803;11281;6425;4616;353189;4593;29760;2260;3441;8013;5990;863;3444;5764;3449;151;59347;3397;2353;10979;688;9902;760;80303;8613;10370;23345;2823;3479;90865;4091;9378;816;3082;1390;429;2627;7348;3486;2534;5354;7498;9362;8538;658;1374;2038;2047;2002;7525;3651;825;7080;6795;4613;1826;5600;367;83942;388;375790;10611;23111;4684;1052;815;7074;460;25945;5789;25803;8153;23254;3622;27124;5813;6929;10215;23086;51099;4916;4978;135138;7021;2248;57795;645961;11221;26108;2558;249;22999;6347;10529;11155;3662;2194;2778;10297;4644;7073;1406;7477;5587;9547;50861;25987;56898;114885;94081;64284;51316;64359;844;55512;23493;23414;25858;6783;10716;55359;79689;9464;57817;51266;23418;11141;11173;54766;23566;59335;51129;2658;55118;59067;2895;4825;83696;93436;4915;57502;1191;26084;59344;64093;51393;6423;59277;83643;6860;55363;51741;83890;83893;83854;51384;22953;56832;27177;116519;7099;54206;1073;8828;27031;124936;4131;6443;122953;80031;286410;55526;1272;1840;202018;23363;29842;4629;155465;1600;9444;116844;814;58473;152330;57549;153;3400;54502;9037;257194;8543;6926;120892;494470;92304;54897;53637;55366;3736;6656;170302;57828;130120;9290;107;84189;57689;85413;4685;84466;287;56154;219527;54768;90167;84168;51399;91584;221937;64805;6706;84530;221044;6899;257062;4147;51666;10160;4838;285016;1002;7098;842;7037;124857;168667;56478;283629;4810;114770;84953;56853;5597;3356;5170;160762
68,GO:0014074,response to purine-containing compound,1.09e-07,36;142,C_1_GSE62232,5743;7299;6546;348980;10891;1843;3725;2354;5187;3727;7056;5138;1036;8061;6770;6715;2819;1080;3569;1393;7480;7010;189;445;15;5020;5105;2353;1390;5023;1723;5322;6347;22953;64805;3753
69,GO:0051240,positive regulation of multicellular organismal process,1.14e-07,194;1362,C_1_GSE62232,32;90102;5743;6777;22849;93986;6546;654429;8876;84913;4050;694;80005;388591;221336;649;10891;7057;6009;3725;10765;3398;1958;4860;929;10409;5604;558;920;9638;6387;5142;3727;7056;1902;1910;8842;6770;3897;7049;5345;1230;6348;101;3569;3556;1638;653;2690;2626;4488;4846;577;7472;2243;2147;2161;1620;4804;5979;8997;1491;6431;154;7480;552;3037;1621;8809;7010;22865;7481;344;4803;7143;3579;114548;4058;9398;9099;9173;6915;5020;2260;8013;5740;4887;5764;151;23576;2353;760;8613;10370;1893;2053;306;18;3479;4824;90865;9378;816;3082;5340;429;2627;2534;729;9362;658;10555;2047;1826;148;5600;367;388;375790;1052;7074;5789;8153;6505;6929;10215;4916;57795;22999;6347;3662;2778;1406;7477;5587;9388;23493;23414;54566;9464;57817;11141;23566;114897;51129;2658;59067;2693;4825;4160;4915;1191;347902;51393;6423;6860;27177;116519;7099;8828;124936;4131;286410;57633;1272;202018;23363;1600;53833;116844;154810;153;3400;9037;257194;147372;55366;170302;84189;60675;192683;11148;6899;51666;4838;285016;1002;7098;7037;260434;9971;5597;3356;26007
70,GO:1901700,response to oxygen-containing compound,1.24e-07,197;1389,C_1_GSE62232,1571;130399;245973;25819;5743;6777;22849;7299;9455;6546;694;348980;10891;2920;1979;1843;7057;847;3725;7538;1958;929;1634;2180;6422;3164;3481;6256;558;2308;2354;3155;5106;5187;6279;5156;8835;687;920;26;6387;5577;5142;360;3727;7056;3039;1902;4129;5138;1036;2643;1910;8061;4360;6770;4929;6715;7049;2775;3294;4255;4982;1263;2819;1080;6348;3569;2099;3484;185;590;5617;2690;2626;4488;2395;4846;7472;1543;1620;4804;5979;1393;8997;6431;383;7480;552;5444;9021;8431;1621;6517;5732;7010;7481;2646;337;6716;189;114548;445;4058;339;15;130;6915;5020;1544;10400;6622;8013;5105;2740;5764;2805;1312;3397;3043;5860;2353;688;760;18;51141;4824;9378;3082;1390;6470;429;2534;5023;2642;1374;9104;2002;7525;3651;1395;388;375790;815;7074;1723;4916;5473;2998;57795;11221;249;5322;6347;4644;6569;7477;56034;57088;59307;55022;58189;11093;57817;59340;1154;1133;2693;4825;4160;3778;4915;408;57393;22953;84649;7099;54206;5166;6506;111;23514;120892;342979;57828;2788;107;64805;3753;6899;257062;842;388581;9971;3356;5170;80854
71,GO:0070887,cellular response to chemical stimulus,1.45e-07,326;2527,C_1_GSE62232,1571;283375;122876;245973;55816;5743;6777;64081;22849;64399;6546;8876;4050;348980;221;649;10891;2920;5547;1979;9611;1843;7057;633;847;3725;7538;10765;3398;1958;929;1634;2180;10449;6422;2633;3164;3481;6256;5604;558;2308;2354;5106;5187;6279;5156;8835;2591;4311;1969;687;26;9638;10974;4783;6817;6387;5577;5142;3727;2167;1902;6351;5138;2643;1910;4501;4360;8321;6770;4929;6715;7049;4495;4092;4255;6943;4982;1263;2819;1667;1080;1573;1230;6348;2357;101;2176;3569;2099;3556;3484;185;6358;653;5617;2690;2626;4488;2395;4846;7472;1543;1620;4804;6283;3977;5979;2294;3777;1393;1576;1491;3598;383;7480;552;9021;288;8431;1592;3037;4496;22977;6517;8809;5732;7481;1555;10;4803;337;10249;9970;3579;114548;445;6291;4058;6799;339;8856;15;3953;9420;10803;1564;9173;6915;1544;2260;6622;1572;3441;8013;2104;1562;5740;1558;10235;3444;1553;5105;2740;5764;3449;2805;3397;7095;5860;2353;10979;688;760;10370;1893;2053;6818;2203;4824;4091;9378;816;3082;6470;2627;3263;2534;7036;7498;9362;658;6368;2642;10555;1374;9104;2047;2358;2002;7525;3651;10402;825;7080;1395;367;54490;4261;388;4502;375790;23111;4684;4493;815;7074;3622;4494;5446;4916;7018;5473;6441;135138;1577;1559;9;7021;7032;2248;5008;57795;249;1557;6347;3662;2194;55811;4644;7073;6569;4499;7477;5587;9547;56034;57088;59307;54829;55022;64762;53829;11093;51554;64922;57817;11173;64388;2658;59340;1154;1133;2693;4825;8822;4915;8945;53832;408;6423;51741;57393;2103;51384;22953;56832;79148;27177;84649;7099;54206;5166;8828;361;3680;285704;134147;111;2327;23514;53833;116844;54756;132014;9037;120892;147372;494470;5686;3736;342979;2788;107;57689;79092;91584;64805;1317;3753;6899;4838;95;7098;842;7037;11167;124857;168667;5141;5272;388581;260434;9971;5170
72,GO:0042738,exogenous drug catabolic process,1.62e-07,9;12,C_1_GSE62232,1548;1576;1555;8856;1564;1544;1558;1559;1557
73,GO:0009056,catabolic process,1.68e-07,253;1880,C_1_GSE62232,1548;32;79660;114771;135644;131669;285848;144699;114792;875;51302;25819;10003;1579;6898;22849;84570;5337;374569;119548;38;1776;27165;221;2572;169355;10891;9611;1892;633;217;847;7538;6652;4942;4860;1634;2180;5236;10449;30;6385;5520;35;10613;34;2308;3155;290;4594;5264;2639;6653;178;3712;5142;412;2167;3039;4129;5138;1036;5549;8310;4329;8942;2027;435;1806;229;4092;2731;2028;222;1263;2819;3029;316;1463;23464;101;3081;1962;8564;36;8309;2110;23708;4846;978;23498;10993;8630;5053;1543;11001;4143;6999;1576;443;1807;33;1491;635;154;383;7480;1369;5444;1592;1621;4051;66002;2875;344;1555;337;6716;189;6718;339;8856;9099;5260;11181;8993;1564;1544;6622;863;1558;2805;1312;23576;3043;5860;9902;2053;18;2954;3479;11145;39;2203;8228;90865;6470;1757;2534;7498;8529;594;1374;9104;10157;11343;622;23014;375790;30849;8622;5222;5446;10730;51099;10690;1577;1559;9509;51422;5322;51438;1557;6642;58510;54979;10297;51181;56898;55268;29763;23417;1486;10894;51171;9388;55753;2055;55512;51191;57733;55576;11093;54363;55821;51733;56547;10841;11173;50940;30814;57406;51268;1191;8945;64285;408;129807;51166;84735;127;116519;83844;84706;112483;55276;219743;80311;152926;55526;414328;51;149603;158880;132671;120892;144193;145270;27115;494470;5686;130013;131873;554235;151531;201456;29958;1629;87769;83875;80339;136227;113026;54941;3423;166785;95;112817;5141;114770;3356;26007;63827
74,GO:0055065,metal ion homeostasis,1.75e-07,91;531,C_1_GSE62232,283375;64072;137994;1579;6546;84239;1356;344905;480;6279;5156;920;6387;1756;1902;1910;482;4501;1230;6348;2357;2099;5816;185;6358;2395;2147;5745;3777;552;288;66002;5732;3579;2911;10803;6915;5020;6622;4887;2740;1312;2053;9429;3263;7036;8529;6368;2038;9104;2358;825;148;23516;4502;7018;7021;6347;23428;4644;5587;56898;94081;55240;844;79689;57817;23566;114897;2658;59340;4159;3355;3778;51312;22953;111;286133;9481;3736;287;60675;113235;1317;48;57053;7037;5314;79054;3356;5170
75,GO:0009074,aromatic amino acid family catabolic process,1.82e-07,10;15,C_1_GSE62232,6898;169355;8942;3081;8564;23498;6999;2954;51166;130013
76,GO:0042737,drug catabolic process,1.82e-07,10;15,C_1_GSE62232,1548;1576;1555;8856;1564;1544;1558;1577;1559;1557
77,GO:0003008,system process,2.37e-07,218;1582,C_1_GSE62232,64072;246213;29119;7439;1579;5923;5743;54084;64081;22849;93986;7299;56203;9455;6546;7171;2070;80005;480;4588;26188;282775;26219;138804;89797;388591;24;10891;5547;30818;1979;9380;3725;3398;4942;9414;4070;4311;6387;5577;5142;360;1756;5138;2643;1910;482;8061;2775;4092;2028;7433;1573;5345;6348;3569;8864;51308;185;5348;590;4886;2707;2626;2395;4846;577;2243;7140;5443;9172;6296;3777;1393;8997;154;7480;552;288;1259;3037;1621;6010;66002;6523;7010;337;5457;364;7143;3579;3768;774;2911;11281;6425;80168;1420;2917;6915;5020;4018;4593;2260;8013;4607;81696;1827;778;4887;2740;5764;5470;26538;151;10060;6336;1312;23576;3043;2353;563;2053;18;3479;4824;9378;816;3082;2627;2534;5959;5023;8529;2642;2047;7525;2334;11343;8913;148;367;10611;23111;2006;7074;54463;6505;3752;7021;1759;26648;2558;1739;22999;2778;3493;4644;1406;30845;8645;844;9499;23493;9427;10716;29881;9227;9464;57817;59335;114897;442194;1133;2693;2895;50837;4159;3778;51151;4915;57502;59344;51393;11280;22953;116519;7099;80333;54206;361;285440;4629;111;1740;814;153;6926;147372;3736;54207;5269;107;84189;4685;287;60675;113235;283160;84530;3753;6899;84676;48;57053;5141;79054;3356
78,GO:0006066,alcohol metabolic process,2.42e-07,56;278,C_1_GSE62232,51302;221;64788;217;847;6652;10449;6256;10613;6653;3931;23541;6770;3158;222;1080;5745;1576;33;1071;126;5444;8431;1621;337;6718;3953;319;9420;80168;130;124;2260;6622;5105;2805;2053;8542;51141;125;7276;8228;5959;6309;6526;27124;6569;2055;29881;9227;127;116519;84649;113026;9971;26007
79,GO:0009062,fatty acid catabolic process,2.55e-07,26;88,C_1_GSE62232,32;38;1892;10449;30;35;34;4594;5264;2639;3712;8310;1962;36;8309;2110;11001;33;39;1374;56898;55268;54363;219743;51;166785
80,GO:0010243,response to organonitrogen compound,2.79e-07,118;748,C_1_GSE62232,1571;130399;6571;245973;5743;6777;22849;7299;9455;6546;694;348980;10891;1979;1843;847;3725;1958;6422;4837;5520;3164;3481;2308;2354;5187;8835;26;6387;5577;5142;3727;7056;5138;1036;8942;8061;6770;4929;6715;2775;4255;2819;1080;3569;3484;185;590;5617;2690;4804;1393;8997;6431;383;7480;552;9021;1621;6517;7010;6716;189;445;339;15;5020;10400;6622;8013;5105;2740;5764;2805;3397;5860;2353;688;760;18;51141;1390;429;2534;5023;2642;3651;1395;815;7074;1723;5322;6347;4644;6569;56034;55022;11093;1154;2693;4825;4160;4915;22953;54206;5166;6506;111;23514;120892;2788;107;64805;3753;388581;9971;3356;5170
81,GO:0051591,response to cAMP,2.84e-07,27;94,C_1_GSE62232,7299;6546;348980;1843;3725;2354;5187;3727;7056;1036;8061;6770;6715;2819;1080;1393;7480;7010;189;445;15;5020;5105;2353;1390;5322;3753
82,GO:0016125,sterol metabolic process,2.89e-07,34;135,C_1_GSE62232,51302;64788;847;10449;6256;10613;6653;3931;23541;6770;3158;1080;33;1071;5444;8431;337;6718;3953;319;9420;2053;8542;51141;6309;51422;2055;29881;10826;116519;84649;285440;1582;9971
83,GO:0015711,organic anion transport,3.90e-07,59;303,C_1_GSE62232,32;84879;246213;8671;7439;1579;27165;9611;7057;6513;2180;6256;6515;11309;3039;1080;9122;8864;11001;759;6539;552;28234;189;6540;6554;10786;6579;2917;5020;353189;6542;6622;2912;3043;123;760;18;8529;1374;6505;213;51422;5322;22999;23428;51660;23632;10998;30814;10864;4915;6506;220963;320;113235;54716;140679;9971
84,GO:0015850,organic hydroxy compound transport,4.08e-07,43;194,C_1_GSE62232,6571;10765;6256;11309;6387;360;4129;3931;6770;1080;185;5443;1071;5444;28234;344;337;364;6554;6580;6579;5020;6622;4887;151;18;20;5023;6526;80765;213;9388;10998;29881;114897;1133;1191;6860;116519;361;64805;9971;3356
85,GO:1901698,response to nitrogen compound,4.26e-07,130;851,C_1_GSE62232,1571;130399;6571;245973;5743;6777;22849;7299;9455;6546;694;348980;10891;1979;9611;1843;847;3725;1958;6422;4837;5520;3164;3481;5604;2308;2354;5187;8835;26;6387;5577;5142;3727;7056;5138;1036;8942;8061;6770;4929;6715;2775;4255;2819;1080;3569;2099;3484;185;590;5617;2690;4804;1393;8997;6431;383;7480;552;9021;1621;6517;7010;6716;189;445;339;15;5020;10400;6622;3441;8013;3444;5105;2740;5764;3449;2805;3397;5860;2353;688;760;18;51141;1390;429;2534;5023;2642;3651;1395;375790;815;7074;1723;5322;6347;4644;6569;56034;55022;11093;59340;1154;1133;2693;4825;4160;54996;4915;22953;56832;54206;5166;6506;111;23514;120892;2788;107;64805;3753;7098;388581;9971;3356;5170
86,GO:0006954,inflammatory response,4.34e-07,103;635,C_1_GSE62232,5743;6777;8876;2920;5547;7057;3487;929;558;5187;6279;730;1969;9332;6387;4065;2167;6351;5138;23166;1036;1910;4982;5345;316;1230;6348;2357;101;3569;2099;3556;185;6358;2687;2147;2161;4804;6283;3848;2294;1393;3700;731;9021;5199;3818;5732;922;7010;735;732;3579;114548;445;6291;4153;8993;9173;6915;6542;29760;5740;4210;2353;1893;2053;90865;3082;729;5354;7036;5023;658;6368;2358;11343;5473;5008;11221;6347;5587;59307;58189;10164;57817;56547;59340;59067;2693;30814;27177;7099;53833;814;132014;130120;60675;7098;114770;388581;9971;1378
87,GO:0048731,system development,4.39e-07,488;4056,C_1_GSE62232,283375;64072;32;23210;114771;122042;84879;246213;5075;90102;55816;5923;5743;6777;64081;22849;84570;8633;93986;7299;9622;974;4340;64399;6546;1821;126755;654429;8876;84690;84913;38;4050;694;348980;256764;23105;89797;441549;388591;221336;649;10891;5547;161357;7057;2114;26227;847;6009;3725;3487;7538;2273;10765;3398;1958;4860;1634;6422;6385;4837;4070;4522;3164;10409;3481;6256;5604;558;2308;3155;290;6279;5156;6304;4311;1969;6653;920;9638;6387;360;10247;1756;1952;1902;4129;23166;1036;5549;1910;8842;4501;8061;8321;9620;6770;3897;4929;6715;7049;4495;3131;2775;4291;4092;2009;3294;2028;8379;4255;6943;4982;22809;1949;5345;1230;6348;10090;283;1463;101;3569;2099;3556;8864;3798;1638;185;3290;653;590;4886;5617;2707;10570;2626;4488;4846;577;7472;2674;10178;1543;2147;912;1620;4804;5979;415;3848;5745;2294;3777;8997;1491;6431;9355;154;383;1041;7480;4326;552;1995;9211;9021;288;8431;3037;57447;6010;660;6595;8809;7010;4908;22865;7481;4803;2045;337;570;6716;5457;7143;3579;114548;445;4974;4058;9398;9099;944;3953;11181;8993;9420;3950;10803;11281;6425;6915;5020;1544;4593;29760;5992;2260;23544;51350;3441;8013;4607;863;5740;3444;1827;4887;5764;3449;151;6336;3397;23576;5860;2353;688;760;80303;8613;10370;1893;306;18;2823;3479;51141;4824;23169;90865;4091;9378;816;3082;429;2627;2534;729;5354;7498;9362;8538;658;2038;9104;2047;3651;825;2334;7080;8820;4613;1826;148;5600;6457;367;388;375790;10611;23111;2006;4684;6526;1052;57211;815;7074;460;25945;5789;25803;8153;23254;3622;1723;27124;5813;6929;10215;23086;4916;10690;4978;6441;7021;9509;6694;2248;5008;57795;11221;26108;2558;249;1739;8434;22999;6347;10529;3662;2194;2778;27445;5787;4644;1406;6569;7477;5587;9547;50861;25987;94081;56892;56034;64284;54829;55224;23554;2055;64359;25837;844;55211;55512;5101;23493;23414;10716;55576;9464;57817;51266;23418;11141;11173;54766;23566;59335;51129;2658;55118;2693;2895;4825;8822;83716;83696;93436;4915;57502;1191;347902;9510;8945;59344;64093;51393;408;6423;59277;6860;51741;83854;51384;22953;56832;27177;116519;84649;7099;54206;6506;64651;8828;27031;124936;4131;6443;3696;80031;286410;57633;55526;1272;1840;202018;23363;29842;320;4629;84870;158326;1600;9444;116844;129446;1740;814;152330;57549;3400;54502;9037;257194;8543;6926;120892;147372;9031;5067;494470;5686;54897;6913;53637;9481;55366;3736;341640;6656;170302;130120;9290;107;84189;57689;4685;84466;287;60675;56154;219527;54768;90167;84168;51399;91584;113026;404037;221937;4336;64805;6706;84530;8110;57545;23639;6899;101927581;4147;119;51666;10160;4838;285016;79064;1002;7098;57053;842;140679;7037;23322;124857;5314;168667;56478;4810;114770;56853;9971;5597;5170;63827
88,GO:0009991,response to extracellular stimulus,4.84e-07,74;414,C_1_GSE62232,283375;130399;32;220441;875;25819;5743;7299;6546;38;10891;6513;847;3725;7538;6652;2180;6422;558;2308;3155;920;26;360;8942;8061;6770;4929;6715;4255;4982;3569;590;2626;5443;1543;154;383;552;5444;7481;6716;445;6915;5020;10400;5105;5764;1312;23710;2353;429;2642;3651;23766;30849;1723;213;249;6347;6569;9388;23408;23615;57817;2693;4160;6423;5166;6506;153;120892;11167;9971
89,GO:1902652,secondary alcohol metabolic process,5.23e-07,32;126,C_1_GSE62232,51302;64788;847;10449;6256;10613;6653;3931;23541;6770;3158;1080;1576;33;1071;5444;8431;337;6718;3953;319;9420;2260;2053;8542;51141;6309;2055;29881;116519;84649;9971
90,GO:0051094,positive regulation of developmental process,5.24e-07,164;1136,C_1_GSE62232,32;149685;25819;90102;5743;6777;22849;93986;6546;654429;8876;84913;694;80005;55604;221336;649;10891;7057;6009;3725;7538;10765;3398;1958;4860;1634;6422;4070;10409;5604;558;9638;10974;6387;3727;1902;8842;6770;3897;7049;5345;1230;101;3569;3556;1638;185;653;2690;2626;4488;4846;577;7472;2243;1620;4804;5979;8997;1491;6431;154;7480;1013;9021;3037;7010;22865;4803;3579;114548;4058;9398;9099;6915;5020;2260;5740;5764;151;23576;2353;688;760;10370;1893;306;3479;9378;816;3082;429;2627;3486;2534;729;9362;658;2047;825;1826;5600;367;388;375790;1052;7074;5789;25803;8153;6929;10215;4916;57795;22999;2778;1406;7477;5587;23493;23414;6783;9464;57817;11141;23566;51129;2658;2693;4825;4915;347902;51393;6423;83643;6860;27177;124936;4131;286410;57633;1272;202018;23363;1600;116844;3400;9037;257194;147372;92304;55366;170302;84189;6899;51666;4838;285016;1002;7037;9971;5597;3356
91,GO:0006635,fatty acid beta-oxidation,6.51e-07,22;70,C_1_GSE62232,32;38;1892;10449;30;35;34;2639;3712;8310;1962;36;8309;2110;11001;33;39;1374;56898;55268;219743;51
92,GO:0046951,ketone body biosynthetic process,7.20e-07,7;8,C_1_GSE62232,38;3155;3158;622;56898;10998;54511
93,GO:0009066,aspartate family amino acid metabolic process,7.36e-07,19;55,C_1_GSE62232,137362;441024;374569;26227;4522;2639;23464;4143;443;1491;635;445;2805;27232;10157;55256;4482;51268;51166
94,GO:0043269,regulation of ion transport,7.49e-07,88;525,C_1_GSE62232,23704;170850;7439;3788;1579;5923;5743;6546;729993;348980;388591;10891;30818;9611;7057;2273;5652;5187;920;6387;5142;1756;6351;482;2775;1080;1230;6348;8864;5348;4846;2147;1393;154;552;288;6406;3768;774;10786;2917;5020;6622;778;6336;760;18;816;3769;5023;8529;9104;825;3755;8913;815;3752;1739;6347;4644;6569;5587;29763;30845;3773;8645;844;79026;3781;23566;3778;51393;11280;89822;22953;80333;1272;54102;128414;3736;54207;287;3760;64805;3753;3772;3356;5170
95,GO:0034754,cellular hormone metabolic process,8.86e-07,27;99,C_1_GSE62232,6777;10891;1958;5947;6817;6770;6715;2099;653;8630;1576;1592;6716;6718;15;1312;7276;8228;5959;80765;51171;6783;64577;9227;127;84649;83875
96,GO:0006690,icosanoid metabolic process,1.05e-06,26;94,C_1_GSE62232,1571;1548;1579;5743;1573;2687;1543;552;4051;66002;1555;1544;1549;1572;1562;5740;1558;1553;2053;8529;11343;1559;5322;1557;59344;51
97,GO:0010876,lipid localization,1.08e-06,63;341,C_1_GSE62232,130399;32;84879;1579;6777;24;9611;7057;10765;2180;6256;11309;6653;3931;6770;10351;1080;3569;185;5443;11001;1071;5444;28234;344;337;6554;319;6579;5020;4018;10877;123;5104;8542;4824;20;8529;1374;80765;51099;213;51422;63982;5322;114885;9388;2055;10998;29881;9227;114897;30814;1191;114880;116519;84649;80832;286410;161247;83394;374868;9971
98,GO:0006959,humoral immune response,1.12e-06,38;168,C_1_GSE62232,2220;730;11326;1667;283;3569;1675;2243;683;5650;8547;3848;731;5199;6406;5648;735;732;10747;4153;10584;29760;3441;3444;3449;3507;3263;729;715;6347;3493;51279;78989;1191;25818;56832;3500;1378
99,GO:0006952,defense response,1.15e-06,191;1381,C_1_GSE62232,245909;282616;245938;114771;5743;6777;255520;8876;2220;2920;5547;7057;3487;1958;929;2633;558;5187;6279;730;1969;920;9332;6387;4065;2167;6351;5138;23166;1036;2643;1910;8942;8061;4360;6770;7033;11326;4982;1667;5345;316;1230;6348;2357;283;101;3569;2099;3556;185;1675;6358;671;2687;2243;2147;2161;5650;912;1620;8685;4804;6283;8547;3848;2294;1393;8997;3700;731;9021;5199;6406;5648;660;3818;5732;922;7010;735;10990;337;732;3579;10747;114548;445;6291;339;944;4153;8993;10803;9173;6915;6542;29760;3824;6622;11126;3441;10332;5740;3444;4210;4887;3449;10060;2353;1893;2053;306;3507;8542;90865;816;3082;3263;2534;729;5354;7036;5023;658;6368;2358;7525;11343;11027;3811;4261;715;4502;30849;4684;815;5473;6441;5008;11221;2558;6347;3662;3493;7073;5587;59307;51279;51316;58189;51191;23569;55359;55576;11093;10164;57817;51266;56547;59340;59067;2693;30814;1191;25818;8945;56832;27177;7099;361;3500;53833;814;132014;245936;5686;55366;130120;60675;117285;104;7098;5272;114770;388581;260434;9971;1378;26007;5170
100,GO:0055080,cation homeostasis,1.20e-06,98;609,C_1_GSE62232,283375;64072;137994;245973;8671;1579;6546;84239;1356;344905;480;6279;5156;920;6387;1756;1902;1910;482;4501;1080;1230;6348;2357;2099;5816;185;6358;2395;2147;5745;3777;552;288;66002;5732;3579;2911;10803;6915;5020;6622;4887;2740;1312;760;2053;9429;3263;7036;8529;6368;2038;9104;2358;825;148;23516;4502;7018;7021;6347;23428;4644;5587;56898;94081;55240;844;79689;57817;23566;114897;2658;59340;4159;3355;3778;51312;22953;5166;285195;111;120892;286133;9481;3736;287;60675;113235;1317;48;57053;7037;5314;79054;3356;5170
